day,h1_diff,day_diff,day_high,day_low,
2020/8/27,95482,9,10,1965,1955,
2020/8/28,223539,14,20,1955,1935,
2020/8/31,395934,33,37,1991,1954,
2020/9/1,483127,41,64,2043,1979,
2020/9/2,270224,13,22,2050,2028,
2020/9/3,199529,11,15,2038,2023,
2020/9/4,363132,34,66,2058,1992,
2020/9/7,355698,37,37,2079,2042,
2020/9/8,160179,15,35,2056,2021,
2020/9/9,218538,21,24,2005,1981,
2020/9/10,152138,13,35,2008,1973,
2020/9/11,221298,18,21,2005,1984,
2020/9/14,361834,37,37,2036,1999,
2020/9/15,308487,22,41,2115,2074,
2020/9/16,255011,25,25,2092,2067,
2020/9/17,194385,15,35,2114,2079,
2020/9/18,203222,13,17,2084,2067,
2020/9/21,325397,28,41,2087,2046,
2020/9/22,218741,22,26,2033,2007,
2020/9/23,235207,18,20,2016,1996,
2020/9/24,296209,20,39,2017,1978,
2020/9/25,176073,14,17,2024,2007,
2020/9/28,247464,22,44,2034,1990,
2020/9/29,372413,45,45,1998,1953,
2020/9/30,226374,23,48,1965,1917,
2020/10/9,327648,36,39,1993,1954,
2020/10/12,281157,28,45,2038,1993,
2020/10/13,164813,15,26,2043,2017,
2020/10/14,214325,15,23,2055,2032,
2020/10/15,214195,16,41,2065,2024,
2020/10/16,298221,13,38,2076,2038,
2020/10/19,368931,22,57,2088,2031,
2020/10/20,198333,14,19,2040,2021,
2020/10/21,497429,39,83,2146,2063,
2020/10/22,289129,24,24,2099,2075,
2020/10/23,300841,22,42,2088,2046,
2020/10/26,568059,26,30,2032,2002,
2020/10/27,218522,14,28,2032,2004,
2020/10/28,303483,16,37,2063,2026,
2020/10/29,480485,41,44,2063,2019,
2020/10/30,384856,32,60,2065,2005,
2020/11/2,505849,29,45,2030,1985,
2020/11/3,339222,21,40,2068,2028,
2020/11/4,306221,17,41,2087,2046,
2020/11/5,220434,18,22,2064,2042,
2020/11/6,179679,15,46,2091,2045,
2020/11/9,231502,19,19,2084,2065,
2020/11/10,416818,42,42,2136,2094,
2020/11/11,360589,24,48,2201,2153,
2020/11/12,272509,30,43,2186,2143,
2020/11/13,270012,21,82,2257,2175,
2020/11/16,606780,63,70,2294,2224,
2020/11/17,337915,27,45,2260,2215,
2020/11/18,261039,22,34,2256,2222,
2020/11/19,484544,45,73,2323,2250,
2020/11/20,201429,16,22,2293,2271,
2020/11/23,577019,80,89,2351,2262,
2020/11/24,389025,40,40,2307,2267,
2020/11/25,346468,23,37,2341,2304,
2020/11/26,303744,23,76,2295,2219,
2020/11/27,151582,15,40,2265,2225,
2020/11/30,242148,24,36,2277,2241,
2020/12/1,451499,53,57,2322,2265,
2020/12/2,216152,24,39,2319,2280,
2020/12/3,145237,14,50,2285,2235,
2020/12/4,162478,16,38,2261,2223,
2020/12/7,283346,27,48,2282,2234,
2020/12/8,282422,41,55,2280,2225,
2020/12/9,175137,21,41,2277,2236,
2020/12/10,244929,36,43,2331,2288,
2020/12/11,314293,71,112,2442,2330,
2020/12/14,283753,34,43,2489,2446,
2020/12/15,305537,29,70,2524,2454,
2020/12/16,248907,24,30,2513,2483,
2020/12/17,318197,32,33,2511,2478,
2020/12/18,499354,67,73,2562,2489,
2020/12/21,422593,46,54,2549,2495,
2020/12/22,425034,54,91,2558,2467,
2020/12/23,452198,50,70,2455,2385,
2020/12/24,609491,50,53,2541,2488,
2020/12/25,443798,46,61,2512,2451,
2020/12/28,292830,27,118,2462,2344,
2020/12/29,323363,33,63,2378,2315,
2020/12/30,374964,31,36,2374,2338,
2020/12/31,163010,13,49,2402,2353,
2021/1/4,352339,42,51,2418,2367,
2021/1/5,236736,15,27,2418,2391,
2021/1/6,231715,17,65,2436,2371,
2021/1/7,189719,18,33,2389,2356,
2021/1/8,248967,28,76,2369,2293,
2021/1/11,412269,27,47,2369,2322,
2021/1/12,328962,43,71,2352,2281,
2021/1/13,269789,25,51,2384,2333,
2021/1/14,202931,22,42,2348,2306,
2021/1/15,345991,45,63,2343,2280,
2021/1/18,307094,35,58,2345,2287,
2021/1/19,239663,24,47,2349,2302,
2021/1/20,200462,13,56,2317,2261,
2021/1/21,197624,13,49,2328,2279,
2021/1/22,244434,17,33,2344,2311,
2021/1/25,317491,24,67,2340,2273,
2021/1/26,256737,25,57,2293,2236,
2021/1/27,161826,13,24,2259,2235,
